TimeStamp,X,Y,Z
37,-0.04,0.09,9.93
39,-0.0,0.03,9.88
41,-0.18,0.08,9.98
43,-0.22,0.02,9.97
45,-0.11,0.2,10.0
47,-0.16,0.03,9.94
49,-0.16,0.08,9.88
51,-0.01,0.19,9.98
53,-0.15,0.13,10.03
55,-0.11,0.06,9.98
57,0.01,-0.12,9.93
59,-0.1,-0.05,10.04
61,-0.04,0.13,9.99
63,-0.09,0.15,10.03
65,0.07,-0.07,9.96
67,-0.02,-0.02,10.04
69,-0.0,0.02,10.12
71,-0.09,0.13,10.11
73,-0.1,-0.03,10.01
75,-0.16,0.01,9.89
77,-0.01,0.21,9.94
79,-0.18,0.08,9.97
81,-0.05,0.06,10.05
83,-0.07,-0.13,10.01
85,-0.36,-0.02,9.97
87,-0.12,0.12,9.84
89,-0.17,0.19,9.83
91,-0.16,-0.04,9.87
93,-0.05,-0.02,9.94
95,-0.17,0.04,10.02
97,-0.2,0.2,9.91
99,-0.01,0.02,9.99
101,-0.05,-0.04,9.91
103,-0.06,0.19,9.97
105,-0.23,0.06,10.02
107,0.08,0.05,10.15
109,-0.06,-0.18,10.09
111,-0.21,-0.08,10.03
113,0.07,0.12,10.0
115,-0.03,0.17,9.95
117,-0.08,-0.01,10.1
119,0.14,-0.05,9.9
121,-0.12,0.05,10.08
123,-0.06,0.16,9.98
125,0.08,0.1,9.99
127,-0.13,-0.08,10.0
129,-0.08,0.08,9.9
131,-0.08,0.05,9.88
133,0.02,0.18,9.9
135,-0.18,0.0,10.01
137,-0.19,-0.01,9.94
139,0.0,0.07,9.87
141,-0.19,0.22,9.9
143,-0.04,0.15,9.95
145,-0.05,0.01,10.0
147,-0.2,-0.01,10.11
149,-0.08,0.08,10.01
151,0.02,0.18,10.04
153,-0.17,0.0,9.96
155,-0.1,0.07,10.03
157,0.07,0.11,10.05
159,-0.11,0.2,10.09
161,-0.19,0.07,10.14
163,-0.06,-0.06,9.89
165,-0.15,-0.04,10.01
167,-0.17,0.2,9.95
169,-0.17,0.29,9.89
171,-0.1,-0.01,9.94
173,-0.14,-0.01,10.1
175,-0.06,0.04,9.9
177,-0.17,0.2,9.92
179,-0.11,-0.01,9.96
181,-0.04,-0.04,9.98
183,-0.06,0.19,9.85
185,-0.14,0.16,10.01
187,-0.07,0.06,10.13
189,0.06,-0.18,9.96
191,-0.16,0.02,9.98
193,0.04,0.1,9.96
195,-0.02,0.18,9.96
197,-0.07,0.08,10.04
199,0.09,0.04,10.07
201,-0.03,0.05,10.11
203,-0.2,0.17,10.05
205,-0.03,0.02,10.05
207,-0.03,-0.09,9.99
209,-0.13,0.13,9.95
211,-0.26,0.09,9.96
213,0.05,0.12,10.01
215,-0.13,-0.07,10.01
217,-0.31,-0.06,10.14
219,-0.07,0.15,9.87
221,-0.19,0.31,9.74
223,-0.13,0.08,10.01
225,0.06,0.01,9.82
227,-0.16,0.04,10.05
229,-0.19,0.15,9.98
231,0.05,0.07,9.99
233,-0.12,-0.12,9.89
235,-0.03,0.11,9.99
237,-0.07,0.06,9.97
239,0.1,0.1,9.99
241,-0.11,0.04,10.08
243,-0.06,-0.17,10.15
245,0.1,-0.03,10.02
247,-0.12,0.22,9.9
249,-0.03,0.07,9.97
251,0.13,-0.02,10.01
253,-0.09,0.05,10.15
255,-0.1,0.1,9.97
257,0.04,0.12,9.99
259,-0.14,-0.09,9.95
261,-0.23,-0.04,10.04
263,-0.07,0.16,9.9
265,-0.15,0.17,9.9
267,-0.22,0.01,10.01
269,0.01,-0.14,9.91
271,-0.19,0.03,9.87
273,-0.25,0.17,9.82
275,-0.09,0.16,9.87
277,-0.05,-0.05,9.91
279,-0.14,0.05,9.95
281,0.04,0.06,9.88
283,-0.05,0.16,10.13
285,-0.08,-0.12,10.09
287,-0.02,-0.04,10.0
289,-0.02,0.19,9.99
291,-0.2,0.15,10.03
293,0.04,0.06,10.11
295,0.2,-0.06,10.01
297,-0.22,-0.08,10.03
299,-0.06,0.12,10.03
301,-0.05,0.23,9.91
303,-0.08,0.0,10.04
305,-0.07,0.01,9.95
307,-0.02,0.08,10.03
309,-0.23,0.17,9.99
311,-0.04,0.05,9.92
313,-0.07,-0.08,9.86
315,-0.23,0.17,9.84
317,-0.25,0.1,9.94
319,0.07,0.15,9.97
321,-0.01,-0.06,9.93
323,-0.32,-0.04,10.11
325,0.04,0.11,9.94
327,-0.06,0.21,9.88
329,-0.22,0.08,10.05
331,-0.07,0.03,10.06
333,-0.16,0.06,10.17
335,0.01,0.06,10.02
337,-0.07,0.15,9.99
339,-0.12,0.05,10.0
341,-0.05,-0.01,9.95
343,0.0,0.13,10.04
345,-0.25,0.14,10.02
347,-0.03,0.07,10.15
349,0.08,-0.05,9.93
351,-0.23,-0.08,10.0
353,-0.11,0.11,9.93
355,-0.12,0.25,9.88
357,-0.14,0.01,9.98
359,-0.04,0.01,10.02
361,-0.01,0.0,9.96
363,-0.13,0.2,9.93
365,-0.14,0.05,9.95
367,0.0,-0.09,9.9
369,-0.15,0.09,10.0
371,-0.24,0.1,10.04
373,0.12,0.11,10.1
375,-0.02,-0.12,10.0
377,-0.22,-0.11,10.1
379,0.03,0.07,9.94
381,-0.09,0.17,9.92
383,-0.15,0.02,10.16
385,0.12,-0.02,10.03
387,0.0,0.06,10.05
389,-0.2,0.18,9.99
391,0.04,0.06,10.02
393,-0.13,-0.07,9.95
395,-0.15,0.11,9.96
397,-0.19,0.01,9.97
399,-0.02,0.17,9.96
401,-0.21,-0.06,10.0
403,-0.24,-0.16,9.94
405,-0.05,0.03,9.88
407,-0.21,0.23,9.94
409,-0.21,0.1,9.9
411,0.05,-0.01,9.89
413,-0.17,0.02,10.13
415,-0.14,0.11,9.97
417,0.11,0.12,10.01
419,-0.07,-0.12,10.04
421,-0.11,0.0,10.01
423,0.04,0.1,9.94
425,0.08,0.24,10.02
427,-0.16,-0.01,10.15
429,0.07,-0.12,10.07
431,-0.01,-0.06,10.02
433,-0.16,0.19,9.99
435,-0.11,0.17,9.99
437,-0.02,-0.0,10.01
439,-0.09,0.01,10.01
441,0.0,0.05,9.95
443,-0.15,0.21,9.99
445,-0.23,-0.05,9.88
447,-0.08,-0.08,9.96
449,-0.14,0.16,9.95
451,-0.21,0.2,9.94
453,-0.11,0.05,10.01
455,0.03,-0.08,9.88
457,-0.19,-0.06,10.02
459,-0.14,0.1,9.9
461,-0.11,0.22,9.91
463,-0.1,0.03,10.05
465,0.01,0.01,10.0
467,0.05,0.03,10.04
469,-0.13,0.22,10.05
471,-0.04,0.05,9.99
473,0.01,-0.12,10.01
475,-0.08,0.2,10.15
477,-0.24,0.13,9.99
479,0.13,0.12,10.02
481,0.0,-0.12,10.02
483,-0.24,-0.05,10.08
485,-0.05,0.07,9.97
487,-0.05,0.24,9.92
489,-0.14,-0.02,10.04
491,0.03,-0.02,10.04
493,-0.1,0.1,9.92
495,-0.28,0.19,9.98
497,0.03,0.09,9.98
499,-0.12,-0.05,9.88
501,-0.22,0.03,10.0
503,-0.25,0.09,9.95
505,-0.01,0.16,9.95
507,-0.14,-0.05,10.07
509,-0.15,-0.06,10.07
511,0.14,-0.03,9.97
513,-0.13,0.2,9.92
515,-0.2,0.08,10.02
517,0.04,-0.03,10.05
519,-0.08,0.05,10.16
521,-0.07,0.19,9.99
523,0.07,0.12,10.15
525,-0.12,-0.08,10.02
527,-0.2,0.01,10.04
529,-0.03,0.01,10.0
531,-0.07,0.24,9.98
533,-0.23,0.0,10.02
535,-0.04,-0.06,9.96
537,-0.08,0.03,10.04
539,-0.27,0.16,9.87
541,-0.21,0.2,9.9
543,-0.04,0.07,9.8
545,-0.21,0.0,10.02
547,-0.03,0.05,9.87
549,-0.08,0.22,9.96
551,-0.17,-0.03,9.97
553,-0.11,-0.02,9.96
555,0.03,0.1,9.91
557,-0.2,0.15,9.99
559,-0.02,0.13,10.17
561,0.22,-0.06,10.02
563,-0.21,-0.04,10.13
