TimeStamp,X,Y,Z
24,-0.04,0.07,10.1
26,0.0,0.11,10.11
28,-0.09,0.06,9.99
30,-0.06,0.09,10.02
32,-0.06,0.13,10.15
34,-0.04,0.16,10.13
36,-0.06,0.11,10.17
38,-0.08,0.14,10.04
40,-0.07,0.08,10.07
42,-0.09,0.12,10.13
44,-0.15,0.16,10.11
46,-0.17,0.13,10.08
48,-0.06,0.22,9.99
50,-0.17,0.17,9.94
52,-0.17,0.16,9.99
54,-0.15,0.2,9.97
56,-0.18,0.2,9.87
58,-0.14,0.16,9.94
60,-0.14,0.13,10.0
62,-0.17,0.15,10.0
64,-0.13,0.17,10.0
66,-0.13,0.11,10.0
68,-0.07,0.1,10.06
70,-0.09,0.17,10.1
72,-0.03,0.18,10.14
74,-0.08,0.1,10.06
76,-0.05,0.05,10.12
78,0.04,0.11,10.07
80,0.0,0.11,10.12
82,-0.04,0.03,10.19
84,-0.04,0.11,10.2
86,0.07,0.03,10.06
88,-0.0,0.02,10.17
90,-0.02,-0.03,10.13
92,0.02,0.02,10.12
94,-0.07,-0.02,10.03
96,0.04,0.01,10.04
98,-0.07,0.05,10.09
100,-0.1,0.03,9.99
102,-0.06,0.03,10.0
104,-0.05,0.07,10.06
106,-0.07,0.06,9.95
108,-0.11,-0.01,9.96
110,-0.08,0.05,10.03
112,-0.01,-0.03,9.96
114,0.01,0.02,10.04
116,-0.08,0.01,10.08
118,-0.05,-0.01,10.12
120,-0.01,-0.03,10.1
122,-0.06,-0.04,10.08
124,-0.07,-0.02,10.08
126,-0.07,0.06,10.15
128,0.01,-0.03,10.01
130,-0.02,0.02,10.08
132,-0.01,-0.0,10.1
134,-0.05,-0.04,10.11
136,-0.07,-0.01,10.14
138,-0.06,0.04,10.13
140,-0.04,0.08,10.0
142,-0.04,0.05,9.97
144,-0.07,0.1,9.95
146,-0.09,0.04,9.99
148,-0.05,0.09,9.99
150,-0.06,0.06,9.97
152,-0.15,0.11,9.96
154,-0.13,0.08,10.0
156,-0.04,0.05,9.99
158,-0.08,0.11,9.97
160,-0.12,0.05,9.97
162,-0.08,0.1,10.01
164,-0.07,0.11,10.07
