TimeStamp,X,Y,Z
22,0.08,0.08,9.92
24,0.02,0.12,9.89
26,0.03,0.1,9.86
28,0.11,0.15,9.91
30,0.08,0.12,10.06
32,0.09,0.1,9.9
34,0.12,0.07,10.03
36,0.09,0.07,9.91
38,0.1,0.12,10.0
40,0.08,0.11,10.04
42,0.12,0.1,10.03
44,0.1,0.12,10.06
46,0.2,0.11,10.07
48,0.17,0.13,10.05
50,0.11,0.13,10.07
52,0.1,0.09,10.01
54,0.14,0.04,10.09
56,0.12,0.02,10.02
58,0.1,0.03,9.97
60,0.11,-0.0,9.96
62,0.07,-0.03,9.94
64,0.02,0.07,10.02
66,0.1,0.0,9.95
68,0.06,0.02,10.03
70,0.05,-0.02,9.92
72,0.01,-0.03,9.91
74,0.03,0.02,9.89
76,0.06,-0.02,9.91
78,0.13,0.02,9.98
80,0.11,-0.04,9.93
82,0.16,-0.09,10.01
84,0.11,-0.03,10.07
86,0.16,-0.02,10.0
88,0.11,-0.02,9.99
90,0.14,-0.06,10.11
92,0.13,-0.07,10.12
94,0.18,-0.09,9.98
96,0.07,-0.04,10.07
98,0.04,0.04,10.01
100,0.0,-0.07,10.0
102,0.14,0.02,10.01
104,0.08,-0.07,10.0
106,0.01,-0.06,10.06
108,0.08,0.08,9.97
110,0.11,-0.04,9.98
112,0.11,0.01,9.9
114,0.06,0.01,9.94
116,0.09,-0.03,9.87
118,0.06,0.02,9.84
120,0.07,-0.0,9.97
122,0.13,0.04,9.93
124,0.06,0.01,9.92
126,0.16,0.07,10.09
128,0.15,0.02,10.06
130,0.09,0.05,10.1
132,0.08,0.08,10.01
134,0.22,0.05,10.09
136,0.15,0.03,10.06
138,0.13,0.09,10.1
140,0.18,0.11,10.09
142,0.17,0.09,10.06
144,0.17,0.1,10.14
146,0.11,0.11,10.13
148,0.24,0.1,10.09
150,0.14,0.27,9.97
152,0.05,0.19,9.98
154,0.17,0.08,9.95
156,-0.01,0.17,9.79
158,-0.01,0.15,9.98
160,0.04,0.09,9.9
162,0.0,0.06,9.94
164,0.03,0.08,9.83
166,-0.03,0.12,9.95
168,-0.03,0.13,10.01
170,0.09,0.15,9.9
172,0.1,0.13,9.93
174,-0.06,0.2,10.06
176,0.09,0.23,10.04
178,0.1,0.08,9.98
180,0.22,0.19,10.02
