TimeStamp,X,Y,Z
42755,-0.04,0.02,10.07
42757,0.1,-0.14,10.18
42759,0.3,0.23,10.24
42761,0.14,0.22,10.12
42763,0.15,-0.14,9.92
42765,0.12,0.32,10.19
42767,0.26,0.01,10.18
42769,0.22,-0.06,10.13
42771,0.06,0.22,10.05
42773,0.58,0.13,10.14
42775,-0.08,0.18,9.97
42777,0.03,0.04,10.04
42779,0.34,0.17,9.96
42781,0.19,0.16,10.08
42783,0.2,-0.07,9.88
42785,0.25,0.3,10.04
42787,0.06,0.05,10.12
42789,0.15,0.18,10.04
42791,0.4,0.24,10.09
42793,0.24,0.37,10.07
42795,-0.02,-0.1,10.09
42797,0.35,0.36,9.99
42799,0.15,0.16,10.14
42801,0.31,0.19,9.94
42803,-0.22,0.09,10.21
42805,0.62,0.11,10.13
42807,-0.3,0.26,10.13
42809,0.53,0.01,10.01
42811,-0.17,0.1,9.99
42813,0.27,0.32,10.17
42815,0.22,0.04,10.05
42817,-0.58,-0.06,10.07
42819,0.79,0.22,10.3
42821,-0.23,0.34,9.96
42823,-0.37,-0.32,10.01
42825,0.49,0.49,10.19
42827,-0.39,0.31,9.85
42829,0.19,-0.69,9.98
42831,0.31,0.8,10.09
42833,-0.23,0.3,10.2
42835,-0.17,-0.48,10.01
42837,0.56,0.52,10.05
42839,0.51,-0.16,10.0
42841,-0.3,0.0,10.09
42843,-0.04,0.63,10.38
42845,0.51,-0.18,9.96
42847,0.52,0.06,10.0
42849,0.05,-0.0,10.2
42851,0.23,0.08,10.09
42853,0.17,0.27,10.21
42855,0.38,-0.04,10.12
42857,0.12,-0.06,10.24
42859,0.26,0.06,10.03
42861,0.23,0.0,9.99
42863,0.02,0.12,10.13
42865,0.33,-0.22,10.04
42867,0.38,0.09,9.95
42869,-0.26,0.27,10.15
42871,0.18,-0.3,10.09
42873,0.08,0.14,10.11
42875,0.19,0.23,9.95
42877,0.25,-0.34,10.13
42879,-0.39,0.44,10.13
42881,0.29,-0.19,10.03
42883,0.45,-0.28,10.01
42885,-0.44,0.51,10.25
42887,0.71,-0.23,10.0
42889,-0.46,-0.26,9.94
42891,0.91,0.36,10.24
42893,-0.08,0.06,9.96
42895,-0.11,-0.35,10.12
42897,0.68,0.36,10.1
42899,0.08,-0.06,10.1
42901,0.19,-0.11,10.12
42903,0.16,0.19,10.07
42905,0.28,-0.19,10.15
42907,0.03,0.24,10.12
42909,0.28,0.03,10.03
42911,0.42,0.12,10.24
42913,-0.33,0.11,10.06
42915,0.27,-0.0,10.11
42917,0.09,0.25,10.09
42919,0.14,0.23,9.91
42921,0.36,-0.03,10.13
42923,0.02,0.33,10.06
42925,-0.12,-0.18,10.03
42927,0.42,0.05,10.12
42929,-0.1,0.37,10.04
42931,0.42,-0.26,9.9
42933,-0.29,-0.03,10.11
42935,0.28,0.5,10.08
42937,0.14,-0.13,9.96
42939,0.03,0.32,10.09
42941,0.2,0.2,10.18
42943,-0.18,0.18,10.01
42945,0.3,0.07,10.05
42947,0.43,0.47,9.89
42949,-0.32,-0.03,10.12
42951,0.2,0.24,10.18
42953,0.27,0.39,10.05
42955,0.48,0.06,10.03
42957,-0.07,0.34,10.07
42959,0.11,0.35,10.2
42961,0.37,-0.19,10.07
42963,0.26,0.36,10.09
42965,0.15,0.14,10.09
42967,0.19,0.07,10.18
42969,0.11,0.29,10.0
42971,0.25,0.44,10.03
42973,-0.06,0.05,10.15
42975,0.63,0.39,10.06
42977,-0.17,-0.31,9.98
42979,0.43,0.32,10.16
42981,-0.12,0.23,10.13
42983,0.36,-0.21,9.93
42985,0.17,0.36,10.12
42987,-0.08,0.2,10.16
42989,0.3,-0.15,10.17
42991,-0.07,0.45,10.14
42993,0.27,-0.02,10.08
42995,0.13,0.11,10.08
42997,-0.03,-0.02,10.16
42999,0.3,-0.26,10.08
43001,0.09,0.11,10.14
43003,0.08,0.02,10.19
43005,0.2,-0.06,10.08
43007,-0.11,0.04,10.05
43009,0.25,-0.11,10.12
43011,0.24,0.02,10.11
43013,0.18,0.15,10.02
43015,0.36,-0.2,10.05
43017,-0.06,0.16,10.0
43019,0.0,0.15,10.1
43021,0.14,-0.34,9.9
43023,0.38,0.18,10.08
43025,0.29,0.11,10.12
43027,0.03,-0.52,10.05
43029,0.14,0.35,10.07
43031,0.13,-0.23,10.07
43033,0.44,0.06,9.94
43035,-0.07,0.19,10.24
43037,0.12,0.0,9.99
43039,0.06,-0.28,10.2
43041,0.33,0.48,9.93
43043,0.17,-0.24,10.21
43045,-0.03,0.13,10.06
43047,-0.04,-0.11,10.16
43049,0.59,0.13,9.99
43051,-0.77,0.22,10.07
43053,0.67,-0.05,10.08
43055,-0.15,0.26,10.26
43057,0.1,0.3,10.16
43059,0.12,-0.27,9.91
43061,-0.24,0.41,10.11
43063,0.57,0.36,10.09
